Gender,Age_2,Marital,Parental,Education,Religion,Occupation,CoupleStatus,Income,CouplePeriod,NumCouple,NumCouple_2,Empathy_01,Respect_02,Distancing_03,Growth_04,Patience_05,Growth_06,Respect_07,Distancing_08,Growth_09,Empathy_10,Empathy_11,Patience_12,Growth_13,Patience_14,Respect_15,Distancing_16,Empathy_17,Respect_18,Patience_19,Growth_20,Respect_21,Patience_22,Extraversion_01,Extraversion_02,Extraversion_03,Extraversion_04,Neuroticism_05,Neuroticism_06,Neuroticism_07,Neuroticism_08,Openness_09,Openness_10,Openness_11,Openness_12,Agreeableness_13,Agreeableness_14,Agreeableness_15,Agreeableness_16,Conscientiousness_17,Conscientiousness_18,Conscientiousness_19,Conscientiousness_20,Avoidance_01,Dominance_02,Compromise_03,Accomodation_04,Collaboration_05,Avoidance_06,Dominance_07,Compromise_08,Accomodation_09,Collaboration_10,Avoidance_11,Dominance_12,Compromise_13,Accomodation_14,Collaboration_15,Avoidance_16,Dominance_17,Compromise_18,Accomodation_19,Collaboration_20,Avoidance_21,Dominance_22,Compromise_23,Accomodation_24,Collaboration_25,satisfaction_01,satisfaction_02,satisfaction_03,satisfaction_04,satisfaction_05,satisfaction_06,satisfaction_07,satisfaction_08,satisfaction_09,ADCRS,TD,PD,RD,GD,DD,Extraversion,Neuroticism,Openness,Agreeableness,Conscientiousness,Compromising,Integrating,Obliging,Avoiding,Dominating,PositiveStrategy,NegativeStrategy,CoupleSatisfaction
2,3,2,4,4,4,7,1,3,10,1,,6,3,5,5,6,3,5,6,4,5,5,4,5,4,3,5,6,2,5,3,3,3,2,4,4,4,2,4,4,3,4,4,3,2,4,2,4,4,4,2,4,4,4,4,3,4,4,1,2,4,3,4,4,4,3,2,4,4,2,4,3,3,2,3,3,4,2,3,3,3,3,3,4,3,3,2,96,22,22,16,20,16,14,13,13,14,14,17,17,16,15,15,34,30,27
2,3,2,3,5,1,2,1,5,10,5,6,5,3,3,5,6,4,4,5,5,5,4,3,4,4,3,5,5,4,6,5,3,6,4,4,4,2,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,2,2,4,3,4,4,4,4,3,4,3,4,3,3,3,3,4,4,3,3,4,5,4,5,4,5,4,5,3,97,25,19,17,23,13,14,12,16,14,16,19,18,15,15,18,37,33,39
2,3,2,3,4,3,2,1,4,9,1,,5,2,4,4,4,4,3,5,5,5,5,4,5,4,3,5,5,3,3,5,3,4,4,4,4,4,3,3,3,2,4,4,3,3,4,4,4,4,5,5,5,5,4,3,3,2,4,3,3,4,3,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,4,3,4,3,3,3,90,19,20,14,23,14,16,11,14,16,20,17,14,14,17,15,31,32,30
2,3,2,3,4,4,7,1,3,9,1,,5,4,5,4,5,4,5,5,6,5,5,5,4,5,4,6,6,2,4,3,5,4,4,4,3,3,4,2,3,3,2,3,3,3,3,4,4,5,4,4,3,4,1,4,3,4,3,3,3,4,4,4,1,3,4,3,3,1,5,5,4,4,1,5,2,4,4,5,4,4,4,4,5,5,5,5,101,23,21,20,21,16,14,12,11,16,15,18,18,19,7,20,36,27,41
2,3,2,3,4,2,2,1,4,9,2,,7,1,5,3,3,2,3,7,5,6,6,3,6,4,3,6,6,4,4,4,3,3,2,2,2,3,4,3,4,4,2,2,2,2,2,2,2,2,4,2,4,3,2,3,4,4,4,2,3,4,3,4,4,3,4,3,4,2,2,4,3,2,3,3,3,3,4,4,4,3,5,4,4,4,5,3,94,17,25,14,20,18,9,15,8,8,13,19,18,16,13,14,37,27,36
2,3,2,4,4,4,8,1,3,10,3,,3,2,5,2,2,2,2,4,4,4,5,1,2,1,2,6,6,2,1,2,2,2,4,4,2,4,3,2,1,2,2,2,2,3,4,4,5,4,4,2,4,4,4,2,4,4,4,2,1,4,4,4,4,3,4,4,3,4,1,3,4,3,3,2,3,4,3,1,2,1,1,1,1,1,1,1,62,7,18,10,12,15,14,8,9,17,14,18,17,20,17,9,35,26,10
2,3,2,3,4,4,2,1,4,9,3,,6,3,5,6,3,5,5,5,5,6,7,4,5,6,3,5,6,3,4,5,3,4,4,4,3,4,2,4,3,4,3,3,3,3,4,4,4,4,4,3,5,5,2,3,2,3,4,3,3,3,4,4,4,4,4,2,3,3,4,4,2,4,4,4,3,4,4,4,3,4,4,3,5,4,5,4,104,21,25,17,26,15,15,13,12,16,17,16,19,15,16,18,35,34,36
2,3,2,2,2,2,2,1,2,9,3,,4,4,4,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,4,3,2,4,3,2,3,3,3,3,3,3,3,4,3,4,2,2,3,3,2,3,4,3,4,3,4,3,3,3,93,20,18,20,23,12,12,12,12,13,15,17,15,15,14,13,32,27,30
2,4,2,3,4,2,7,1,4,10,1,,5,4,5,4,5,3,6,5,4,4,5,4,5,3,4,5,5,5,3,4,4,3,2,3,2,2,2,2,1,2,2,2,2,3,4,3,4,4,4,3,4,4,3,2,3,3,2,3,1,3,4,3,4,1,3,4,2,4,1,2,4,1,5,1,1,4,1,4,3,4,4,4,5,4,5,4,95,18,19,23,20,15,9,7,9,15,15,12,9,19,19,6,21,25,37
2,4,2,3,5,4,2,1,2,10,2,,6,3,6,6,3,6,3,6,7,6,6,5,6,5,2,6,6,3,5,6,2,5,5,5,5,5,3,3,4,4,5,5,4,3,3,4,4,4,5,5,5,5,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,3,4,3,2,4,3,3,2,4,2,109,23,24,13,31,18,20,14,17,15,20,18,17,20,19,18,35,37,27
